"UniqueID","Height_m","Chamber","Stem_Temp_C","Stem_Diam_mm","Air_Temp_C","Notes","sys_start","sys_end","real_start","real_end","obs_length_sec","CO2_best.flux","CO2_model","CO2_quality.check","CO2_LM.flux","CO2_LM.r2","CO2_LM.p.val","CO2_LM.RMSE","CO2_HM.flux","CO2_HM.r2","CO2_HM.RMSE","CO2_LM.diagnose","CO2_HM.diagnose","CO2_nb.obs","CO2_flux.term","CO2_MDF","CO2_g.fact","CH4_best.flux","CH4_model","CH4_quality.check","CH4_LM.flux","CH4_LM.r2","CH4_LM.p.val","CH4_LM.RMSE","CH4_HM.flux","CH4_HM.r2","CH4_HM.RMSE","CH4_LM.diagnose","CH4_HM.diagnose","CH4_nb.obs","CH4_flux.term","CH4_MDF","CH4_g.fact"
"YMF_10m","10.0","Large stem (s6)",10.6,38.5,9.3,NA,2022-10-04 10:26:00,2022-10-04 10:36:00,2022-10-04 10:04:00,2022-10-04 10:14:00,600,1.1261297916822,"HM","",1.01572817524315,0.999026524050469,1.75082285571673e-223,2.89323191492191,1.1261297916822,0.999769549580697,1.40769764878489,"Noise (LM.MAE)","Noise (HM.MAE)",149,2.3359293631417,0.000633902133824072,1.10869208822785,0.0314898091802709,"HM","AICc",0.0272394087536914,0.665073921237439,5.90562629747041e-37,1.76089172033418,0.0314898091802709,0.665931303103025,1.75863641061905,"","",149,2.3359293631417,0.0044373149367685,1.15603864478166
"YMF_8m","8.0","Large stem (s6)",11.3,38.5,9.3,NA,2022-10-04 10:52:00,2022-10-04 11:07:00,2022-10-04 10:30:00,2022-10-04 10:45:00,900,1.25398474563604,"HM","",1.10063846684457,0.998731607593589,2.26349997370336e-277,4.6166245421767,1.25398474563604,0.9999173464781,1.17849683682608,"Noise (LM.MAE)","Noise (HM.MAE)",192,2.33605629372157,0.000491801324994015,1.13932484045474,0.0765684447151247,"HM","AICc",0.0760943600684935,0.970695174412968,8.14683212799519e-148,1.55605584008292,0.0765684447151247,0.97052787072339,1.56049523863239,"","",192,2.33605629372157,0.0034426092749581,1.00623022056043
"YMF_6m","6.0","Large stem (s6)",11.4,41.1,9.3,NA,2022-10-04 11:22:00,2022-10-04 11:32:00,2022-10-04 11:00:00,2022-10-04 11:10:00,600,1.09834555739463,"HM","",0.932800122520638,0.998014485619764,1.00781548562163e-223,4.23502656211206,1.09834555739463,0.999860422432155,1.1228647114697,"Noise (LM.MAE)","Noise (HM.MAE)",166,2.33411295450244,0.000567910694526141,1.17747149778095,0.0337112943119567,"HM","AICc",0.0336412225079778,0.859726359528916,4.58762835603426e-72,1.38250632850401,0.0337112943119567,0.859492457974167,1.38367415839523,"","",166,2.33411295450244,0.00397537486168299,1.00208291491079
"YMF_4m","4.0","Large stem (s6)",11.5,42.5,9.4,"battery died",2022-10-04 11:44:00,2022-10-04 11:54:00,2022-10-04 11:22:00,2022-10-04 11:32:00,600,1.32386833098952,"HM","AICc",1.30314854895781,0.999791962695814,2.18764550397031e-112,0.710998752972665,1.32386833098952,0.999795764899988,0.704654629061883,"Noise (LM.MAE)","Noise (HM.MAE)",62,2.33394904079873,0.00153549278999916,1.01589978521503,0.353678991732009,"HM","AICc",0.330400946519775,0.99007467292149,5.01306748403574e-62,1.25113422504825,0.353678991732009,0.990407805013714,1.22995859003021,"","",62,2.33394904079873,0.0107484495299941,1.07045393016403
"YMF_4m_restart","4 (restarted)","Large stem (s6)",NA,NA,9.7,NA,2022-10-04 12:32:00,2022-10-04 12:42:00,2022-10-04 12:10:00,2022-10-04 12:20:00,600,1.34106207568664,"HM","",1.31933987276378,0.999887278397298,4.41442093026646e-229,1.003946291558,1.34106207568664,0.999894443336438,0.971891773133964,"Noise (LM.MAE)","Noise (HM.MAE)",117,2.3331479824422,0.000807317640983459,1.0164644481466,0.396629714787707,"HM","",0.369704402424142,0.997780915269485,1.14790757577001e-154,1.24952730832149,0.396629714787707,0.998122550225431,1.14932531698564,"","",117,2.3331479824422,0.00565122348688421,1.07282929872356
"YMF_2m","2.0","Large stem (s6)",12.9,46,9.7,NA,2022-10-04 12:53:00,2022-10-04 12:58:00,2022-10-04 12:31:00,2022-10-04 12:36:00,300,1.20842158337,"HM","",1.12550151487279,0.997341812842276,3.13262631310563e-88,2.44875624758245,1.20842158337,0.997707251307285,2.27421231286376,"Noise (LM.MAE)","Noise (HM.MAE)",69,2.33232743441018,0.0013760043860827,1.07367388439862,0.0384520122066485,"HM","AICc",0.0384203355769582,0.497133148131768,8.18447996951748e-12,1.61652391538232,0.0384520122066485,0.496975719496566,1.61678069534197,"","",69,2.33232743441018,0.00963203070257893,1.00082447561206
"YMF_1.25m","1.25","Large stem (s6)",12.9,46,9.7,NA,2022-10-04 13:00:00,2022-10-04 13:05:00,2022-10-04 12:38:00,2022-10-04 12:43:00,300,1.3307836151745,"HM","",1.27234696475888,0.999633472356177,7.96761925952472e-131,1.1474396140762,1.3307836151745,0.99977497116895,0.899074238592826,"Noise (LM.MAE)","Noise (HM.MAE)",77,2.33000905473764,0.001229556229413,1.04592823501308,0.046013949999614,"HM","AICc",0.0387741109187982,0.693680686527493,3.58541741421322e-21,1.20999491759047,0.046013949999614,0.695258815852541,1.20687400068568,"","",77,2.33000905473764,0.00860689360589101,1.18671837752715
"YMF_0.5m","0.5","Large stem (s6)",12.9,NA,9.8,NA,2022-10-04 13:08:00,2022-10-04 13:13:00,2022-10-04 12:46:00,2022-10-04 12:51:00,300,1.14173417378919,"HM","",1.09028443267916,0.998592889197321,1.84169642942053e-67,1.1975836661462,1.14173417378919,0.998747896186046,1.12969676375376,"Noise (LM.MAE)","Noise (HM.MAE)",48,2.32973961803961,0.00198275712173584,1.04718928342727,-0.00484885854885949,"HM","AICc | MDF",-0.00403629265498706,-0.016477614613488,0.627895065283225,1.65939118535001,-0.00484885854885949,-0.0160211732658191,1.6590185751789,"MDF (LM)","MDF (HM)",48,2.32973961803961,0.0138792998521509,1.20131491032209
"YMF_Seam","Seam","Large stem (s6)",NA,NA,NA,NA,2022-10-04 13:16:00,2022-10-04 13:21:00,2022-10-04 12:54:00,2022-10-04 12:59:00,300,1.34102040741186,"HM","",1.26070021803685,0.999713524615498,2.03962851563755e-122,1.7955954188882,1.34102040741186,0.999884540341955,1.13993468094949,"Noise (LM.MAE)","Noise (HM.MAE)",70,2.32526764396137,0.000814454516273686,1.06371077614318,0.00965562852738834,"HM","AICc",0.00966301603762399,0.030518900730106,0.0793724420639434,3.79189154513842,0.00965562852738834,0.0305018423219471,3.7919252851978,"Noise (LM.MAE)","Noise (HM.MAE)",70,2.32526764396137,0.0057011816139158,0.999235486083549
