"UniqueID","start.time","end.time","Vtot","Area","Tcham","Pcham"
"YMF_10m",2022-10-04 10:26:00,2022-10-04 10:36:00,2.399,446,7,102.1
"YMF_8m",2022-10-04 10:52:00,2022-10-04 11:07:00,2.399,446,6.9,102.2
"YMF_6m",2022-10-04 11:22:00,2022-10-04 11:32:00,2.399,446,6.8,102.2
"YMF_4m",2022-10-04 11:44:00,2022-10-04 11:54:00,2.399,446,6.8,102.2
"YMF_4m_restart",2022-10-04 12:32:00,2022-10-04 12:42:00,2.399,446,6.9,102.2
"YMF_2m",2022-10-04 12:53:00,2022-10-04 12:58:00,2.399,446,7,102.2
"YMF_1.25m",2022-10-04 13:00:00,2022-10-04 13:05:00,2.399,446,7.1,102.2
"YMF_0.5m",2022-10-04 13:08:00,2022-10-04 13:13:00,2.399,446,7.1,102.2
"YMF_Seam",2022-10-04 13:16:00,2022-10-04 13:21:00,2.399,446,7.4,102.1
