"UniqueID","start.time","Area","Vtot","Tcham","Pcham"
"2 10.5 branch 1",2023-07-18 11:17:00,38,0.219,20.7,101.6
"2 10.5 branch 2",2023-07-18 11:30:00,38,0.219,20.7,101.6
"2 10.5 branch 3",2023-07-18 11:50:00,38,0.219,20.8,101.7
"2 10.5 branch 4",2023-07-18 12:08:15,38,0.219,20.8,101.7
"2 11.7 branch 1",2023-07-18 12:26:15,38,0.219,20.8,101.6
"2 11.7 branch 2",2023-07-18 12:36:30,38,0.219,20.8,101.6
"2 9.1 stem 1",2023-07-18 13:06:45,210,0.859,21,101.7
"2 9.1 stem 2",2023-07-18 13:19:45,210,0.859,21.2,101.7
"2 7 stem 1",2023-07-18 13:37:30,210,0.859,21.7,101.7
"2 7 stem 2",2023-07-18 13:49:15,210,0.859,22.2,101.7
"2 4.5 stem 1",2023-07-18 14:12:00,210,0.859,23.3,101.7
"2 4.5 stem 2",2023-07-18 14:14:45,210,0.859,23.3,101.7
"2 3 stem 1",2023-07-18 14:18:30,210,0.859,23.3,101.7
"2 3 stem 2",2023-07-18 14:21:00,210,0.859,23.3,101.7
"4 14.2 stem 1",2023-07-19 09:54:45,92,0.399,17.3,101.6
"4 14.2 stem 2",2023-07-19 10:12:00,92,0.399,17.3,101.6
"4 12 stem 1",2023-07-19 10:43:00,210,0.859,17,101.6
"4 12 stem 2",2023-07-19 10:59:30,92,0.399,16.9,101.6
"4 9.1 leaf 1",2023-07-19 11:41:45,210,0.859,17.2,101.7
"4 2 stem 1",2023-07-19 12:42:30,446,2.399,18.6,101.7
"4 1.25 stem 1",2023-07-19 12:48:30,446,2.399,18.6,101.7
"4 1.25 stem 2",2023-07-19 12:56:15,446,2.399,19,101.8
"4 0.5 stem 1",2023-07-19 13:03:00,446,2.399,19,101.8
"4 0.5 stem 2",2023-07-19 13:11:00,446,2.399,19.6,101.8
"3 1.25 stem 1",2023-07-19 13:16:30,446,2.399,19.6,101.8
"3 0.5 stem 1",2023-07-19 13:21:30,446,2.399,19.6,101.8
"3 2 stem 1",2023-07-19 13:29:00,210,0.859,20.5,101.8
"5 13 stem 1",2023-07-19 14:33:00,38,0.219,21.1,101.8
"5 13 stem 2",2023-07-19 14:39:00,38,0.219,21.6,101.8
"5 13 stem 3",2023-07-19 14:48:00,38,0.219,21.6,101.8
"5 16 leaf 1",2023-07-19 15:14:15,446,2.399,22,101.8
"5 10 stem 1",2023-07-19 15:39:30,92,0.399,22,101.8
"5 10 stem 2",2023-07-19 15:43:30,92,0.399,22,101.8
"5 10 stem 3",2023-07-19 15:47:00,92,0.399,22,101.8
"5 10 leaf 1",2023-07-19 15:55:00,446,2.399,22.4,101.8
"5 8 stem 1",2023-07-19 16:06:30,210,0.859,22.4,101.8
"5 8 stem 2",2023-07-19 16:11:30,210,0.859,23,101.8
"5 6 stem 1",2023-07-19 16:21:15,210,0.859,23,101.8
"5 6 branch 1",2023-07-19 16:26:00,38,0.219,22.9,101.8
"5 4 stem 1",2023-07-19 16:34:00,210,0.859,22.9,101.8
"5 4 branch 1",2023-07-19 16:37:30,38,0.219,22.9,101.8
