SN:3K60190400001658 BD:Jun 13 2018 VC:1b25605 MD5:b432f7351a2db2ad2f028115de159f2d
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [N2O]_ppm,   [N2O]_ppm_sd,     [N2O]d_ppm,  [N2O]d_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,           AIN5,        AIN5_sd,         DetOff,      DetOff_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  02/04/2023 15:35:45.227,    1.944597e+0,    0.000000e+0,    1.032206e+4,    0.000000e+0,    3.290014e-1,    0.000000e+0,    3.324328e-1,    0.000000e+0,    1.964878e+0,    0.000000e+0,    8.473350e+1,    0.000000e+0,    2.111011e+1,    0.000000e+0,    1.886678e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.696759e-1,    0.000000e+0,    1.063236e+0,    0.000000e+0,   -1.036586e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:46.222,    1.941588e+0,    0.000000e+0,    1.035211e+4,    0.000000e+0,    3.291097e-1,    0.000000e+0,    3.325523e-1,    0.000000e+0,    1.961898e+0,    0.000000e+0,    8.473227e+1,    0.000000e+0,    2.111064e+1,    0.000000e+0,    1.887053e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.696759e-1,    0.000000e+0,    1.063242e+0,    0.000000e+0,   -1.036744e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:47.215,    1.943748e+0,    0.000000e+0,    1.031531e+4,    0.000000e+0,    3.290657e-1,    0.000000e+0,    3.324954e-1,    0.000000e+0,    1.964007e+0,    0.000000e+0,    8.473369e+1,    0.000000e+0,    2.111027e+1,    0.000000e+0,    1.886876e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.696759e-1,    0.000000e+0,    1.063220e+0,    0.000000e+0,   -1.036744e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:48.211,    1.943525e+0,    0.000000e+0,    1.028210e+4,    0.000000e+0,    3.292385e-1,    0.000000e+0,    3.326589e-1,    0.000000e+0,    1.963717e+0,    0.000000e+0,    8.473981e+1,    0.000000e+0,    2.111357e+1,    0.000000e+0,    1.886889e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.696759e-1,    0.000000e+0,    1.063312e+0,    0.000000e+0,   -1.036902e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:49.205,    1.943813e+0,    0.000000e+0,    1.039000e+4,    0.000000e+0,    3.276910e-1,    0.000000e+0,    3.311315e-1,    0.000000e+0,    1.964221e+0,    0.000000e+0,    8.472898e+1,    0.000000e+0,    2.111562e+1,    0.000000e+0,    1.885669e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063436e+0,    0.000000e+0,   -1.036902e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:50.207,    1.940517e+0,    0.000000e+0,    1.028129e+4,    0.000000e+0,    3.295698e-1,    0.000000e+0,    3.329934e-1,    0.000000e+0,    1.960675e+0,    0.000000e+0,    8.473138e+1,    0.000000e+0,    2.111173e+1,    0.000000e+0,    1.885732e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063310e+0,    0.000000e+0,   -1.037060e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:51.200,    1.941085e+0,    0.000000e+0,    1.034482e+4,    0.000000e+0,    3.288750e-1,    0.000000e+0,    3.323127e-1,    0.000000e+0,    1.961375e+0,    0.000000e+0,    8.473542e+1,    0.000000e+0,    2.111115e+1,    0.000000e+0,    1.886887e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063380e+0,    0.000000e+0,   -1.037060e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:52.195,    1.937431e+0,    0.000000e+0,    1.023115e+4,    0.000000e+0,    3.281216e-1,    0.000000e+0,    3.315133e-1,    0.000000e+0,    1.957458e+0,    0.000000e+0,    8.473275e+1,    0.000000e+0,    2.111277e+1,    0.000000e+0,    1.886356e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063399e+0,    0.000000e+0,   -1.037217e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:53.190,    1.945950e+0,    0.000000e+0,    1.041622e+4,    0.000000e+0,    3.290688e-1,    0.000000e+0,    3.325325e-1,    0.000000e+0,    1.966433e+0,    0.000000e+0,    8.473251e+1,    0.000000e+0,    2.110838e+1,    0.000000e+0,    1.885837e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063340e+0,    0.000000e+0,   -1.037217e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:54.184,    1.941160e+0,    0.000000e+0,    1.030167e+4,    0.000000e+0,    3.290156e-1,    0.000000e+0,    3.324403e-1,    0.000000e+0,    1.961366e+0,    0.000000e+0,    8.473496e+1,    0.000000e+0,    2.111044e+1,    0.000000e+0,    1.886689e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063356e+0,    0.000000e+0,   -1.037375e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
