DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2025-05-13                07:51:24.464              132.36903316              3176.856796               1747122684.465            0                         963                       1.4799890721E+02          4.4991043670E+01          4.4989555359E+01          4.5041126541E+01          4.0888820132E+01          0.0000000000E+00          0.0000000000E+00          3.4453174711E+04          3.0000000000E+00          1.0600000000E+02          2.0307064694E+00          2.0561744813E+00          2.1910552451E-02          2.1656986032E-02          -5.1722922614E+01         -5.1722922614E+01         -4.9315463667E+01         -4.8835955107E+01         -4.9355263093E+01         1.9852815659E+00          2.0181320003E+00          -4.5028661960E+01         -4.6594685624E+01         -4.6896463865E+01         -4.8876891939E+01         0.0000000000E+00          1.0131668274E+00          4.6699794157E+02          4.7548804397E+02          5.2929640678E+00          -9.3933615985E+00         -1.0022642808E+01         -1.0752937091E+01         -1.1029492750E+01         2.8440201988E+02          8.3767942545E+00          2.8037071776E+00          4.6236188871E+00          4.6699929540E+02          6.1803176474E+01          6.2036983212E+01          0.0000000000E+00          1.2156834078E-01          -1.7277791748E+00         1.9526716270E-01          1.5715899803E-04          1.9985199100E+00          1.0150284541E+00          -3.2662492641E-01         2.4609806563E-03          3.2002610558E-02          -7.4879151059E+00         
2025-05-13                07:51:25.055              132.36904000              3176.856960               1747122685.056            0                         963                       1.4800317383E+02          4.4991233826E+01          4.4989555359E+01          4.5041221619E+01          4.0937500000E+01          0.0000000000E+00          0.0000000000E+00          3.4456390625E+04          3.0000000000E+00          1.0500000000E+02          2.0307064694E+00          2.0561744813E+00          2.1910552451E-02          2.1656986032E-02          -5.1722922614E+01         -5.1722922614E+01         -4.9315463667E+01         -4.8835955107E+01         -4.9355263093E+01         1.9852815659E+00          2.0181320003E+00          -4.5028661960E+01         -4.6594685624E+01         -4.6896463865E+01         -4.8876891939E+01         0.0000000000E+00          1.0131668274E+00          4.6674689712E+02          4.7524150118E+02          5.2902196410E+00          -9.3933615985E+00         -1.0022642808E+01         -1.0752937091E+01         -1.1029492750E+01         2.8424960814E+02          8.3767942545E+00          2.8037071776E+00          4.6236188871E+00          4.6699929540E+02          6.1803176474E+01          6.2036983212E+01          0.0000000000E+00          1.2156834078E-01          -1.7277791748E+00         1.9526716270E-01          1.5715899803E-04          1.9985199100E+00          1.0150284541E+00          -3.2662492641E-01         2.4609806563E-03          3.2002610558E-02          -7.4879151059E+00         
2025-05-13                07:51:25.622              132.36904656              3176.857117               1747122685.623            0                         963                       1.4800259989E+02          4.4991233826E+01          4.4989555359E+01          4.5041221619E+01          4.0919554455E+01          0.0000000000E+00          0.0000000000E+00          3.4456128171E+04          3.0000000000E+00          1.0600000000E+02          2.0307064694E+00          2.0561744813E+00          2.1910552451E-02          2.1656986032E-02          -5.1722922614E+01         -5.1722922614E+01         -4.9315463667E+01         -4.8835955107E+01         -4.9355263093E+01         1.9852815659E+00          2.0181320003E+00          -4.5028661960E+01         -4.6594685624E+01         -4.6896463865E+01         -4.8876891939E+01         0.0000000000E+00          1.0131668274E+00          4.6674689712E+02          4.7524150118E+02          5.2870438660E+00          -9.9880332794E+00         -9.8927352053E+00         -1.0741858880E+01         -1.1006765656E+01         2.8424960814E+02          8.3750906331E+00          2.8037071776E+00          4.6236188871E+00          4.6699929540E+02          6.1803176474E+01          6.2036983212E+01          0.0000000000E+00          1.2156834078E-01          -1.7277791748E+00         1.9526716270E-01          1.5715899803E-04          1.9985199100E+00          1.0150284541E+00          -3.2662492641E-01         2.4609806563E-03          3.2002610558E-02          -7.4879151059E+00         
2025-05-13                07:51:26.907              132.36906142              3176.857474               1747122686.907            0                         963                       1.4800077448E+02          4.4991233826E+01          4.4989555359E+01          4.5041221619E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4454319214E+04          3.0000000000E+00          1.5000000000E+02          2.0315733672E+00          2.0569907109E+00          2.2058203108E-02          2.1808347146E-02          -4.5711499806E+01         -4.5711499806E+01         -4.8821578529E+01         -4.8675167864E+01         -4.9323585760E+01         2.0294785566E+00          2.0630966394E+00          -5.9313157577E+01         -4.7045544366E+01         -4.7429605078E+01         -4.8970273722E+01         0.0000000000E+00          1.0108125598E+00          4.6674689712E+02          4.7524150118E+02          5.2870438660E+00          -9.9880332794E+00         -9.8927352053E+00         -1.0741858880E+01         -1.1006765656E+01         2.8424960814E+02          8.3750906331E+00          2.8222028432E+00          4.7290525095E+00          4.6723912190E+02          6.1659566147E+01          6.1892682660E+01          0.0000000000E+00          1.2441361321E-01          -1.7318227617E+00         1.7150843295E-01          1.3263204198E-04          2.0016281168E+00          1.0133916697E+00          -2.7426871948E-01         8.6528682196E-05          3.1362723007E-02          -9.4461734500E+00         
2025-05-13                07:51:28.188              132.36907626              3176.857830               1747122688.189            0                         963                       1.4799917240E+02          4.4991233826E+01          4.4989555359E+01          4.5041221619E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4453288173E+04          3.0000000000E+00          1.0600000000E+02          2.0315733672E+00          2.0569907109E+00          2.2058203108E-02          2.1808347146E-02          -4.5711499806E+01         -4.5711499806E+01         -4.8821578529E+01         -4.8675167864E+01         -4.9323585760E+01         2.0294785566E+00          2.0630966394E+00          -5.9313157577E+01         -4.7045544366E+01         -4.7429605078E+01         -4.8970273722E+01         0.0000000000E+00          1.0108125598E+00          4.6674689712E+02          4.7524150118E+02          5.2870438660E+00          -9.9880332794E+00         -9.8927352053E+00         -1.0741858880E+01         -1.1006765656E+01         2.8424960814E+02          8.3671639235E+00          2.8222028432E+00          4.7290525095E+00          4.6723912190E+02          6.1659566147E+01          6.1892682660E+01          0.0000000000E+00          1.2441361321E-01          -1.7318227617E+00         1.7150843295E-01          1.3263204198E-04          2.0016281168E+00          1.0133916697E+00          -2.7426871948E-01         8.6528682196E-05          3.1362723007E-02          -9.4461734500E+00         
2025-05-13                07:51:28.775              132.36908304              3176.857993               1747122688.775            0                         963                       1.4800352478E+02          4.4991233826E+01          4.4989555359E+01          4.5041221619E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4457304688E+04          3.0000000000E+00          1.0500000000E+02          2.0315733672E+00          2.0569907109E+00          2.2058203108E-02          2.1808347146E-02          -4.5711499806E+01         -4.5711499806E+01         -4.8821578529E+01         -4.8675167864E+01         -4.9323585760E+01         2.0294785566E+00          2.0630966394E+00          -5.9313157577E+01         -4.7045544366E+01         -4.7429605078E+01         -4.8970273722E+01         0.0000000000E+00          1.0108125598E+00          4.6627973309E+02          4.7474540034E+02          5.2815247627E+00          -9.9880332794E+00         -9.8927352053E+00         -1.0741858880E+01         -1.1006765656E+01         2.8396598793E+02          8.3671639235E+00          2.8222028432E+00          4.7290525095E+00          4.6723912190E+02          6.1659566147E+01          6.1892682660E+01          0.0000000000E+00          1.2441361321E-01          -1.7318227617E+00         1.7150843295E-01          1.3263204198E-04          2.0016281168E+00          1.0133916697E+00          -2.7426871948E-01         8.6528682196E-05          3.1362723007E-02          -9.4461734500E+00         
2025-05-13                07:51:29.355              132.36908977              3176.858154               1747122689.356            0                         963                       1.4800332032E+02          4.4991293048E+01          4.4989592020E+01          4.5041221619E+01          4.0880775578E+01          0.0000000000E+00          0.0000000000E+00          3.4457110484E+04          3.0000000000E+00          1.0600000000E+02          2.0315733672E+00          2.0569907109E+00          2.2058203108E-02          2.1808347146E-02          -4.5711499806E+01         -4.5711499806E+01         -4.8821578529E+01         -4.8675167864E+01         -4.9323585760E+01         2.0294785566E+00          2.0630966394E+00          -5.9313157577E+01         -4.7045544366E+01         -4.7429605078E+01         -4.8970273722E+01         0.0000000000E+00          1.0108125598E+00          4.6627973309E+02          4.7474540034E+02          5.2808180835E+00          -1.0120498979E+01         -9.9221352750E+00         -1.0668936019E+01         -1.1001556221E+01         2.8396598793E+02          8.3659515176E+00          2.8222028432E+00          4.7290525095E+00          4.6723912190E+02          6.1659566147E+01          6.1892682660E+01          0.0000000000E+00          1.2441361321E-01          -1.7318227617E+00         1.7150843295E-01          1.3263204198E-04          2.0016281168E+00          1.0133916697E+00          -2.7426871948E-01         8.6528682196E-05          3.1362723007E-02          -9.4461734500E+00         
2025-05-13                07:51:30.641              132.36910464              3176.858511               1747122690.641            0                         963                       1.4800119308E+02          4.4991874695E+01          4.4989952087E+01          4.5041221619E+01          4.0937500000E+01          0.0000000000E+00          0.0000000000E+00          3.4455188534E+04          3.0000000000E+00          1.5000000000E+02          2.0318196068E+00          2.0572242585E+00          2.2110239859E-02          2.1859473513E-02          -4.3568862289E+01         -4.3568862289E+01         -4.7727895474E+01         -4.8463816681E+01         -4.9278205583E+01         2.0085575410E+00          2.0417477336E+00          -4.7248798754E+01         -4.7152242468E+01         -4.7383904527E+01         -4.8934661160E+01         0.0000000000E+00          1.0102091908E+00          4.6627973309E+02          4.7474540034E+02          5.2808180835E+00          -1.0120498979E+01         -9.9221352750E+00         -1.0668936019E+01         -1.1001556221E+01         2.8396598793E+02          8.3659515176E+00          2.8280866688E+00          4.6757544323E+00          4.6720914553E+02          6.1622760641E+01          6.1856226072E+01          0.0000000000E+00          1.2231443913E-01          -1.7395257124E+00         1.8891757359E-01          9.3130595121E-05          1.9985354536E+00          1.0120447939E+00          -3.6185933310E-01         4.3298935631E-03          3.0860957093E-02          -7.2603956569E+00         
2025-05-13                07:51:31.927              132.36911953              3176.858869               1747122691.927            0                         963                       1.4800007247E+02          4.4991874695E+01          4.4989952087E+01          4.5041221619E+01          4.0876650165E+01          0.0000000000E+00          0.0000000000E+00          3.4454614442E+04          3.0000000000E+00          1.0600000000E+02          2.0318196068E+00          2.0572242585E+00          2.2110239859E-02          2.1859473513E-02          -4.3568862289E+01         -4.3568862289E+01         -4.7727895474E+01         -4.8463816681E+01         -4.9278205583E+01         2.0085575410E+00          2.0417477336E+00          -4.7248798754E+01         -4.7152242468E+01         -4.7383904527E+01         -4.8934661160E+01         0.0000000000E+00          1.0102091908E+00          4.6627973309E+02          4.7474540034E+02          5.2808180835E+00          -1.0120498979E+01         -9.9221352750E+00         -1.0668936019E+01         -1.1001556221E+01         2.8396598793E+02          8.3581890256E+00          2.8280866688E+00          4.6757544323E+00          4.6720914553E+02          6.1622760641E+01          6.1856226072E+01          0.0000000000E+00          1.2231443913E-01          -1.7395257124E+00         1.8891757359E-01          9.3130595121E-05          1.9985354536E+00          1.0120447939E+00          -3.6185933310E-01         4.3298935631E-03          3.0860957093E-02          -7.2603956569E+00         
2025-05-13                07:51:32.505              132.36912622              3176.859029               1747122692.505            0                         963                       1.4799472046E+02          4.4991874695E+01          4.4989952087E+01          4.5041221619E+01          4.0875000000E+01          0.0000000000E+00          0.0000000000E+00          3.4450507812E+04          3.0000000000E+00          1.0500000000E+02          2.0318196068E+00          2.0572242585E+00          2.2110239859E-02          2.1859473513E-02          -4.3568862289E+01         -4.3568862289E+01         -4.7727895474E+01         -4.8463816681E+01         -4.9278205583E+01         2.0085575410E+00          2.0417477336E+00          -4.7248798754E+01         -4.7152242468E+01         -4.7383904527E+01         -4.8934661160E+01         0.0000000000E+00          1.0102091908E+00          4.6581324265E+02          4.7426522864E+02          5.2754769061E+00          -1.0120498979E+01         -9.9221352750E+00         -1.0668936019E+01         -1.1001556221E+01         2.8368277666E+02          8.3581890256E+00          2.8280866688E+00          4.6757544323E+00          4.6720914553E+02          6.1622760641E+01          6.1856226072E+01          0.0000000000E+00          1.2231443913E-01          -1.7395257124E+00         1.8891757359E-01          9.3130595121E-05          1.9985354536E+00          1.0120447939E+00          -3.6185933310E-01         4.3298935631E-03          3.0860957093E-02          -7.2603956569E+00         
