Tree,Flux Rep,Area,
Hemlock,1,334.84,
Oak,1,539.54,
Oak,3,501.65,
Hemlock,2,144.69,
Hemlock,3,105.35,
Maple,3,569.86,
Maple,1,294.43,
Maple,2,694.35,
Oak,2,674.83,
